ID,Name,Tel Number,Website
UNISA,University of South Africa,012 429 3111 / 0800 00 1870,www.unisa.ac.za
UJ,University of Johannesburg, 011 559 4555,�www.uj.ac.za
UP,University of Pretoria,012 420 4111, www.up.ac.za 
Wits,University of the Witwatersrand,011 717 1000 / 011 717 1099, www.wits.ac.za 
TUT,Tshwane University of Technology ,012 382 5911, www.tut.ac.za
VUT,Vaal University of Technology , 016 950 9000, www.vut.ac.za
smu,Sefako Makgatho Health Sciences University, (012) 521-5057 / 5059 / 5062,www.smu.ac.za
EWC,"Ekurhuleni West Technical, Vocational, Education and Training College",066 015 5646 / 063 653 9515,http://www.ewc.edu.za/
CJC,Central Johannesburg TVET College,011 351 6000,cjc.edu.za
swgc,South West Gauteng TVET College,010 141 1000, www.swgc.co.za
tsc,Tshwane South TVET College,012 401 5000,tsc.edu.za
